File Name	GCMF File Name	Address	Attributes	Origin	Radius	Texturecount	Materialcount	Translucidmaterialcount	Transformmatrixcount	Zero_0x1F	Indicesrelptr	Zero_0x24	Transformmatrixdefaultindices	Texture	TransformMatrix	Material	
bfalcon_02.gma	bfalcon_02.gma	00000040	_16Bit	(0.0, 0.6, 0.0)	2.509859	26	15	4	0	0	896	0	X	X	X	X	
bfalcon_02.gma	bfalcon_02.gma	00000040	_16Bit	(0.0, 0.6, 0.0)	2.509859	26	15	4	0	0	896	0	X	X	X	X	
bfalcon_02.gma	bfalcon_02.gma	00000040	_16Bit	(0.0, 0.6, 0.0)	2.509859	26	15	4	0	0	896	0	X	X	X	X	
bfalcon_02emb.gma	bfalcon_02emb.gma	00000040	_16Bit	(0.0, 0.6, 0.0)	2.509859	1	1	0	0	0	96	0	X	X	X	X	
bfalcon_03.gma	bfalcon_03.gma	00000040	_16Bit	(0.0, 0.6, 0.0)	2.509859	16	7	5	0	0	576	0	X	X	X	X	
bfalcon_03.gma	bfalcon_03.gma	00000040	_16Bit	(0.0, 0.6, 0.0)	2.509859	16	7	5	0	0	576	0	X	X	X	X	
bfalcon_03emb.gma	bfalcon_03emb.gma	00000040	_16Bit	(0.0, 0.6, 0.0)	2.509859	1	1	0	0	0	96	0	X	X	X	X	
bfalcon_04.gma	bfalcon_04.gma	00000040	_16Bit	(0.0, 0.6, 0.0)	2.509859	5	5	0	0	0	224	0	X	X	X	X	
bfalcon_04.gma	bfalcon_04.gma	00000040	_16Bit	(0.0, 0.6, 0.0)	2.509859	5	5	0	0	0	224	0	X	X	X	X	
bfalcon_emb.gma	bfalcon_emb.gma	00000040	_16Bit	(0.0, 0.6, 0.0)	2.509858	1	1	0	0	0	96	0	X	X	X	X	
bfang.gma	bfang.gma	00000060	_16Bit	(0.0, 0.6, 0.1)	2.280734	29	14	6	0	0	992	0	X	X	X	X	
	bfang.gma	0000C700	_16Bit	(0.0, 0.8, 1.0)	1.495263	0	0	0	0	0	64	0	X	X	X	X	
	bfang.gma	0000C740	_16Bit	(0.0, 0.0, 0.1)	0.1569343	1	1	0	0	0	96	0	X	X	X	X	
bfang_02.gma	bfang_02.gma	00000020	_16Bit	(0.0, 0.6, 0.1)	2.289804	25	12	6	0	0	864	0	X	X	X	X	
bfang_02.gma	bfang_02.gma	00000020	_16Bit	(0.0, 0.6, 0.1)	2.289804	25	12	6	0	0	864	0	X	X	X	X	
bfang_02emb.gma	bfang_02emb.gma	00000040	_16Bit	(0.0, 0.6, 0.1)	2.323368	1	1	0	0	0	96	0	X	X	X	X	
bfang_03.gma	bfang_03.gma	00000020	_16Bit	(0.0, 0.6, 0.1)	2.290744	18	8	3	0	0	640	0	X	X	X	X	
bfang_03.gma	bfang_03.gma	00000020	_16Bit	(0.0, 0.6, 0.1)	2.290744	18	8	3	0	0	640	0	X	X	X	X	
bfang_03emb.gma	bfang_03emb.gma	00000040	_16Bit	(0.0, 0.6, 0.1)	2.323832	1	1	0	0	0	96	0	X	X	X	X	
bfang_04.gma	bfang_04.gma	00000020	_16Bit	(0.0, 0.6, 0.1)	2.341825	7	7	0	0	0	288	0	X	X	X	X	
bfang_04.gma	bfang_04.gma	00000020	_16Bit	(0.0, 0.6, 0.1)	2.341825	7	7	0	0	0	288	0	X	X	X	X	
bfang_emb.gma	bfang_emb.gma	00000020	_16Bit	(0.0, 0.6, 0.1)	2.314502	1	1	0	0	0	96	0	X	X	X	X	
bg_big,lz.gma	bg_big,lz.gma	00000560	0	(0.0, 0.2, 0.0)	18.85541	6	3	2	0	0	256	0	X	X	X	X	
	bg_big,lz.gma	00000EC0	0	(0.0, 5.6, -0.5)	14.8633	6	0	3	0	0	256	0	X	X	X	X	
	bg_big,lz.gma	00001720	0	(0.0, 0.2, 0.0)	16.76533	6	3	2	0	0	256	0	X	X	X	X	
	bg_big,lz.gma	00002080	0	(0.0, 9.9, -0.5)	17.09109	6	0	3	0	0	256	0	X	X	X	X	
	bg_big,lz.gma	000028E0	StitchingModel	(0.1, 0.9, -13.6)	31.74709	15	11	0	4	0	736	0	X	X	X	X	
	bg_big,lz.gma	0000EAC0	0	(0.0, 0.0, 0.0)	8.800001	1	0	1	0	0	96	0	X	X	X	X	
	bg_big,lz.gma	0000EFE0	0	(0.0, 5.6, -0.5)	14.8633	6	0	3	0	0	256	0	X	X	X	X	
	bg_big,lz.gma	0000F840	0	(0.0, -0.6, 0.0)	16.7667	6	3	2	0	0	256	0	X	X	X	X	
	bg_big,lz.gma	00010320	0	(0.0, 245.4, 5.4)	253.2291	29	17	0	0	0	992	0	X	X	X	X	
	bg_big,lz.gma	00013720	0	(0.0, 216.7, 0.0)	219.242	24	12	0	0	0	832	0	X	X	X	X	
	bg_big,lz.gma	00017BC0	0	(0.0, 205.1, 0.0)	212.857	25	9	3	0	0	864	0	X	X	X	X	
	bg_big,lz.gma	0001BFE0	0	(0.0, 192.2, 0.0)	195.543	16	9	0	0	0	576	0	X	X	X	X	
	bg_big,lz.gma	0001E1E0	0	(0.0, 211.6, 0.0)	214.8939	21	9	0	0	0	736	0	X	X	X	X	
	null
	bg_big,lz.gma	000229E0	0	(0.0, -0.7, 2.0)	12.02151	18	8	1	0	0	640	0	X	X	X	X	
	null
	bg_big,lz.gma	0002A5E0	_16Bit	(0.0, -0.4, 0.5)	1.175255	2	2	0	0	0	128	0	X	X	X	X	
	bg_big,lz.gma	0002AD80	0	(0.0, 4.6, 16.6)	24.99995	38	19	0	0	0	1280	0	X	X	X	X	
	null
	null
	null
	null
	null
	null
	null
	null
	null
	null
	null
	null
	null
	null
	null
	null
	bg_big,lz.gma	0003A0A0	0	(0.7, -10.0, -0.5)	20.39249	4	2	1	0	0	192	0	X	X	X	X	
	bg_big,lz.gma	0003E160	0	(0.0, 175.5, 48.5)	213.4033	49	23	7	0	0	1632	0	X	X	X	X	
	bg_big,lz.gma	00047720	0	(0.7, 119.5, 71.0)	76.38256	28	10	3	0	0	960	0	X	X	X	X	
